SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NOGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,0,0
NOHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
NOMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
NOPA,NA,NA,1,NA,NA,2,3,NA,NA,NA,NA,NA,9,9,6,13,12,11,4,19,6,5,8,18
NOPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
NOWA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,31,19,29,21,44,20,18,14,8,9,8
NRWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
NSHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0
NSHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
NSWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCWA,1,NA,NA,NA,2,2,3,2,NA,NA,NA,NA,2,8,2,3,4,3,1,5,3,1,3,2
OROR,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,2
OSFL,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0
OSPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
OVEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,30,22,46,30,46,35,41,30,27,29,23
PALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
PAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,35,38,28,28,26,12,35,38,15,24,29
